time,open,high,low,close
2024-08-08 17:00:00,1.2741799999999999,1.27432,1.27343,1.27385
2024-08-08 17:15:00,1.2738399999999999,1.27462,1.27375,1.27454
2024-08-08 17:30:00,1.27453,1.27481,1.27424,1.27433
2024-08-08 17:45:00,1.27436,1.27444,1.27404,1.27436
2024-08-08 18:00:00,1.27436,1.27467,1.2741,1.27457
2024-08-08 18:15:00,1.2745600000000001,1.2746,1.27421,1.27451
2024-08-08 18:30:00,1.27451,1.27496,1.27451,1.2747600000000001
2024-08-08 18:45:00,1.27477,1.2752,1.27468,1.27496
2024-08-08 19:00:00,1.27493,1.27499,1.27437,1.27473
2024-08-08 19:15:00,1.27473,1.27493,1.2745,1.27464
2024-08-08 19:30:00,1.27462,1.27464,1.27429,1.2745199999999999
2024-08-08 19:45:00,1.2745,1.2747,1.27424,1.27442
2024-08-08 20:00:00,1.27446,1.2747899999999999,1.27437,1.27477
2024-08-08 20:15:00,1.27477,1.27489,1.27471,1.27475
2024-08-08 20:30:00,1.27475,1.27506,1.2746,1.275
2024-08-08 20:45:00,1.275,1.27503,1.2745600000000001,1.2748300000000001
2024-08-08 21:00:00,1.2748599999999999,1.2748599999999999,1.27421,1.27433
2024-08-08 21:15:00,1.27435,1.27463,1.27432,1.27441
2024-08-08 21:30:00,1.27443,1.27468,1.27433,1.27437
2024-08-08 21:45:00,1.27438,1.27464,1.27435,1.27439
2024-08-08 22:00:00,1.2746,1.27482,1.27437,1.27471
2024-08-08 22:15:00,1.27471,1.27471,1.27441,1.2745
2024-08-08 22:30:00,1.27454,1.27459,1.27433,1.27439
2024-08-08 22:45:00,1.27439,1.27442,1.2742,1.27429
2024-08-08 23:00:00,1.27429,1.2749,1.27424,1.2748
2024-08-08 23:15:00,1.2748,1.2748300000000001,1.27437,1.27439
2024-08-08 23:30:00,1.27438,1.27478,1.27436,1.27466
2024-08-08 23:45:00,1.27466,1.27484,1.2744900000000001,1.27451
2024-08-09 00:00:00,1.27451,1.27455,1.27417,1.2742
2024-08-09 00:15:00,1.2742,1.2743,1.2739,1.27403
2024-08-09 00:30:00,1.27401,1.2741799999999999,1.27377,1.27397
